Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
Louisville,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",573146.02,619724.37,0.081267868,608915.14,619616.62,0.017574654,1.062408397,0.999826120,-0.058906045
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",3837501.85,4652913.48,0.212485013,4891439.57,4353155.26,-0.110046195,1.274641621,0.935576233,-0.266008408
Nashville,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",1242412.12,1417712.92,0.141097148,1507229.07,1347181.06,-0.106186923,1.213147438,0.950249543,-0.216707291
"Northern New England",Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",2241296.04,2110078.29,-0.058545482,2709656.19,2305115.96,-0.149295779,1.208968442,1.092431485,-0.096393713
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",1300017.00,1369537.82,0.053476853,1362684.88,1075447.77,-0.210787626,1.048205434,0.785263290,-0.250849820
"New York",Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",8463419.81,8019973.29,-0.052395666,12581408.79,10402941.36,-0.173149722,1.486563243,1.297129178,-0.127430882
Orlando,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",2199945.29,2783091.84,0.265073208,2767301.56,2522473.87,-0.088471633,1.257895628,0.906356676,-0.279465914
Peoria/Springfield,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",546430.00,536302.40,-0.018534120,565380.24,482567.25,-0.146473089,1.034680085,0.899804379,-0.130354984
Philadelphia,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",2661232.43,2615254.92,-0.017276773,3521665.00,2886587.28,-0.180334506,1.323321090,1.103749870,-0.165924372
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",5002949.09,5452729.17,0.089902988,5292662.14,4554291.72,-0.139508323,1.057908453,0.835231602,-0.210487827
Pittsburgh,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",582112.76,598126.62,0.027509902,769817.44,748763.88,-0.027348763,1.322454155,1.251848442,-0.053389914
Portland,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",2813905.98,2610220.58,-0.072385289,3984670.02,3214133.88,-0.193375145,1.416063669,1.231364853,-0.130431152
Providence,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",388405.45,356986.94,-0.080891019,621890.20,504579.90,-0.188635055,1.601136632,1.413440802,-0.117226616
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",1802491.62,1819131.89,0.009231817,2321673.24,2118802.75,-0.087381157,1.288035526,1.164732891,-0.095729219
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",1439430.31,1437090.39,-0.001625587,1688892.91,1528073.17,-0.095221989,1.173306484,1.063310410,-0.093748799
Roanoke,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",841154.76,871469.96,0.036039983,924788.06,859332.63,-0.070778846,1.099426771,0.986072575,-0.103102998
Sacramento,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",1927274.75,1931186.67,0.002029768,2909183.85,2571549.77,-0.116058009,1.509480608,1.331590474,-0.117848572
"San Diego",Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",2368765.08,2219183.82,-0.063147358,3187501.76,2651156.28,-0.168265156,1.345638612,1.194653749,-0.112203129
"San Francisco",Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",3602851.06,3485140.37,-0.032671539,5305213.85,4559942.29,-0.140479081,1.472504349,1.308395589,-0.111448744
Seattle,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",2578210.05,2472882.43,-0.040853003,4035503.82,3608152.80,-0.105897810,1.565234693,1.459087889,-0.067815264
"South Carolina",Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",2106747.00,2425059.51,0.151091952,2753977.44,2507302.31,-0.089570495,1.307217925,1.033913725,-0.209073174
Spokane,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",351901.09,352104.19,0.000577154,477051.46,416779.68,-0.126342308,1.355640748,1.183682800,-0.126846252
"St. Louis",Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",872451.59,922226.00,0.057051204,1033107.61,874542.99,-0.153483158,1.184143197,0.948295745,-0.199171395
Syracuse,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",372355.51,363997.97,-0.022445066,486848.01,397510.44,-0.183501977,1.307481684,1.092067743,-0.164754844
Tampa,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",2401334.86,2987379.37,0.244049472,2844030.75,2672826.68,-0.060197688,1.184354083,0.894706144,-0.244561946
Toledo,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",630823.51,585633.78,-0.071636092,611249.11,572813.92,-0.062879754,0.968970093,0.978109428,0.009432009
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",3723411.82,3963011.26,0.064349434,4032261.82,3194320.40,-0.207809278,1.082948117,0.806033642,-0.255704286
Wichita,Avocados,Hass,"Last 04 Wks",1,"2023-01-29 00:00:00",407945.18,488950.45,0.198569017,446617.73,402475.91,-0.098835800,1.094798388,0.823142514,-0.248133243
"Total U.S.",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",171581445.70,177325916.20,0.033479555,221506804.50,179134236.00,-0.191292401,1.290971781,1.010197719,-0.217490472
California,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",27308832.66,25894612.34,-0.051786187,38658938.57,31246559.39,-0.191737783,1.415620325,1.206681876,-0.147594977
"Great Lakes",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",18732026.31,18301247.61,-0.022996909,23168954.77,17970269.95,-0.224381500,1.236863241,0.981915022,-0.206124825
Midsouth,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",17668279.32,18577250.66,0.051446512,22647306.96,19381034.92,-0.144223419,1.281806029,1.043267127,-0.186095943
Northeast,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",24699075.50,23855720.10,-0.034145221,36084134.73,29118009.83,-0.193052292,1.460950825,1.220588174,-0.164524806
Plains,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",8375016.99,9195905.77,0.098016372,10209554.45,8473487.90,-0.170043321,1.219048804,0.921441358,-0.244130871
"South Central",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",22197028.91,24204186.35,0.090424599,23366522.37,18035548.06,-0.228145816,1.052686936,0.745141679,-0.292152630
Southeast,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",22503965.65,26707933.97,0.186810111,28464979.64,24447201.68,-0.141148106,1.264887268,0.915353532,-0.276335880
West,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",30097220.37,30589059.42,0.016341677,38906413.05,30462124.27,-0.217041051,1.292691238,0.995850309,-0.229630186
Albany,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",573908.70,533462.44,-0.070475080,669598.55,559233.30,-0.164823005,1.166733568,1.048308672,-0.101501233
Atlanta,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",3328007.18,3585035.78,0.077231986,4023480.41,3318110.78,-0.175313301,1.208975881,0.925544675,-0.234439090
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",4240050.80,4261701.83,0.005106314,6141912.03,5151544.99,-0.161247350,1.448546803,1.208799957,-0.165508526
Birmingham/Montgomery,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",1367943.95,1650396.69,0.206479766,1669905.44,1389439.79,-0.167953009,1.220741129,0.841882318,-0.310351475
Boise,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",532697.46,533586.90,0.001669679,765006.58,533681.85,-0.302382675,1.436099542,1.000177945,-0.303545530
Boston,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",2668564.74,2534221.86,-0.050342746,4352115.68,3437004.82,-0.210268046,1.630882559,1.356236752,-0.168403178
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",809673.78,819193.89,0.011757959,1103128.37,898857.89,-0.185173806,1.362435589,1.097246822,-0.194643159
Charlotte,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",1508397.36,1670779.31,0.107651969,2104089.23,1839194.59,-0.125895153,1.394917070,1.100800437,-0.210848830
Chicago,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",4014100.49,4033103.33,0.004734023,5960268.22,4279221.77,-0.282042081,1.484832839,1.061024581,-0.285424896
Cincinnati/Dayton,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",1476035.27,1261580.88,-0.145290832,1753774.42,1377495.67,-0.214553676,1.188165658,1.091880587,-0.081036740
Columbus,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",1201377.20,1083913.21,-0.097774444,1368350.99,1117647.04,-0.183216118,1.138985322,1.031122259,-0.094701013
"Dallas/Ft. Worth",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",6317287.76,6560943.22,0.038569631,6234812.61,4808817.92,-0.228714924,0.986944532,0.732946127,-0.257358339
Denver,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",4050916.33,4260360.18,0.051702834,5583482.32,4362356.97,-0.218703182,1.378325757,1.023940884,-0.257112567
Detroit,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",2228099.31,2042138.78,-0.083461506,2547742.20,2024651.22,-0.205315508,1.143459896,0.991436642,-0.132950229
"Grand Rapids",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",821422.01,853218.20,0.038708708,1082822.52,873658.74,-0.193165335,1.318229246,1.023956999,-0.223232983
Harrisburg/Scranton,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",1631045.27,1781552.69,0.092276666,2233081.85,1870749.69,-0.162256550,1.369110892,1.050067000,-0.233029986
Hartford/Springfield,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",1601216.24,1544153.63,-0.035637043,2421190.83,1999621.06,-0.174116705,1.512094846,1.294962509,-0.143597036
Houston,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",4037034.40,4214237.81,0.043894450,4236716.83,3197209.30,-0.245356857,1.049462652,0.758668459,-0.277088653
Indianapolis,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",1218354.21,1165908.33,-0.043046500,1365056.80,1084475.59,-0.205545449,1.120410461,0.930155112,-0.169808615
Jacksonville,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",894306.14,1157565.26,0.294372489,1210782.55,1084370.05,-0.104405619,1.353879281,0.936767961,-0.308086050
"Las Vegas",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",1826189.96,1874380.62,0.026388630,2142505.65,1762801.23,-0.177224469,1.173210725,0.940471328,-0.198378171
"Los Angeles",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",13474099.86,12916919.78,-0.041351933,17857469.32,14821679.02,-0.170001149,1.325318166,1.147462342,-0.134198586
Louisville,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",600857.15,624913.09,0.040036030,679963.43,587156.94,-0.136487476,1.131655713,0.939581758,-0.169728260
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",4062197.99,4802766.28,0.182307286,5427348.60,4548936.32,-0.161849245,1.336062056,0.947149217,-0.291088904
Nashville,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",1309903.76,1434195.30,0.094886013,1588247.74,1311140.54,-0.174473532,1.212491930,0.914199441,-0.246016061
"Northern New England",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",2144862.61,2087337.30,-0.026820043,2673579.99,2255207.88,-0.156483858,1.246504078,1.080423311,-0.133237243
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",1297628.42,1447871.19,0.115782583,1453772.01,1065191.46,-0.267291255,1.120329973,0.735694912,-0.343323012
"New York",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",9110956.98,8517653.99,-0.065119722,14026718.81,11181603.55,-0.202835410,1.539543963,1.312756255,-0.147308367
Orlando,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",2284591.14,2891755.19,0.265764862,2971670.99,2625953.69,-0.116337679,1.300745216,0.908082987,-0.301874821
Peoria/Springfield,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",591712.08,563726.25,-0.047296357,650238.81,481718.50,-0.259166800,1.098910828,0.854525571,-0.222388614
Philadelphia,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",2729374.53,2723912.86,-0.002001072,3872251.87,3063140.27,-0.208951180,1.418732322,1.124536808,-0.207365061
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",5884042.13,5838374.67,-0.007761240,6020099.94,4770647.55,-0.207546786,1.023123188,0.817119116,-0.201348258
Pittsburgh,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",660317.90,627080.39,-0.050335619,793895.16,715198.57,-0.099127179,1.202292349,1.140521348,-0.051377687
Portland,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",2647006.66,2751150.22,0.039343896,3977032.41,3239957.60,-0.185332865,1.502464071,1.177673823,-0.216171724
Providence,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",364426.96,360078.77,-0.011931573,632212.64,512489.72,-0.189371281,1.734813030,1.423271126,-0.179582409
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",1868091.40,2020825.65,0.081759519,2495082.28,2163945.51,-0.132715773,1.335631801,1.070822464,-0.198265223
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",1454134.80,1499704.40,0.031337948,1736246.80,1529391.24,-0.119139490,1.194006773,1.019795128,-0.145905073
Roanoke,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",879638.68,912708.58,0.037594864,997655.00,869608.90,-0.128347066,1.134164539,0.952778277,-0.159929406
Sacramento,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",2020427.39,1969099.41,-0.025404514,3199788.24,2590483.39,-0.190420367,1.583718500,1.315567598,-0.169317276
"San Diego",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",2606141.45,2278073.10,-0.125882789,3316961.16,2717046.62,-0.180862695,1.272747938,1.192695101,-0.062897636
"San Francisco",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",3589481.06,3347428.80,-0.067433774,6052819.13,4493567.01,-0.257607586,1.686265797,1.342393603,-0.203925262
Seattle,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",2434757.78,2444750.82,0.004104328,4354567.73,3546825.90,-0.185493000,1.788501415,1.450792395,-0.188822339
"South Carolina",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",2244571.60,2541256.47,0.132178842,2925177.30,2536218.92,-0.132969163,1.303222985,0.998017692,-0.234192687
Spokane,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",339071.45,340621.27,0.004570782,519591.69,387080.50,-0.255029462,1.532395868,1.136395557,-0.258419067
"St. Louis",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",866979.44,1018298.80,0.174536267,1000213.72,877044.47,-0.123142935,1.153676399,0.861284005,-0.253444028
Syracuse,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",372554.58,367060.88,-0.014746029,481259.62,381085.94,-0.208148939,1.291782838,1.038209072,-0.196297519
Tampa,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",2496809.44,3124188.65,0.251272367,3095993.21,2826268.53,-0.087120564,1.239979777,0.904640804,-0.270439066
Toledo,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",670524.17,613688.37,-0.084763241,725303.44,578938.94,-0.201797604,1.081696193,0.943376110,-0.127873319
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",4190592.52,4238436.22,0.011416930,4373941.95,3205223.09,-0.267200359,1.043752626,0.756227750,-0.275472242
Wichita,Avocados,Hass,"Last 04 Wks",2,"2023-02-26 00:00:00",475194.89,505533.42,0.063844396,497882.38,424559.01,-0.147270462,1.047743542,0.839823821,-0.198445242
"Total U.S.",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",149325877.30,174021676.00,0.165381909,210335915.70,173999277.80,-0.172755270,1.408569764,0.999871291,-0.290151389
California,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",24254302.53,25413194.52,0.047780883,36707475.86,29499976.59,-0.196349629,1.513441824,1.160813394,-0.232997677
"Great Lakes",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",15672297.97,18895032.11,0.205632520,21772145.22,18452971.88,-0.152450450,1.389212052,0.976604421,-0.297008387
Midsouth,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",16404439.92,17955766.76,0.094567498,22408866.05,18681604.36,-0.166329777,1.366024452,1.040423648,-0.238356497
Northeast,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",19473622.98,23587452.44,0.211251366,30653945.99,27736751.06,-0.095165397,1.574126500,1.175911266,-0.252975370
Plains,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",7377589.58,9001839.73,0.220160004,10318912.93,8142661.03,-0.210899337,1.398683516,0.904555210,-0.353280996
"South Central",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",19801068.35,23581874.23,0.190939489,23123028.73,18083115.36,-0.217960779,1.167766725,0.766822653,-0.343342607
Southeast,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",20295391.85,25258211.47,0.244529382,28239701.28,24491485.12,-0.132728605,1.391434149,0.969644472,-0.303133050
West,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",26047164.10,30328304.69,0.164361102,37111839.65,28910712.35,-0.220984122,1.424793866,0.953258438,-0.330949929
Albany,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",491564.09,561951.63,0.143190967,610833.48,592102.72,-0.030664268,1.242632416,1.053654234,-0.152078909
Atlanta,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",3099661.51,3441460.84,0.110269890,3827637.36,3222455.51,-0.158108461,1.234856564,0.936362683,-0.241723524
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",3980859.44,4208340.42,0.057143686,5992813.51,5024533.61,-0.161573509,1.505406961,1.193946568,-0.206894482
Birmingham/Montgomery,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1247624.09,1551527.75,0.243585920,1695481.85,1395240.79,-0.177083028,1.358968514,0.899268990,-0.338270916
Boise,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",429963.33,491967.40,0.144207821,683798.98,477834.99,-0.301205460,1.590365823,0.971273691,-0.389276557
Boston,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",2397467.42,2631506.06,0.097619112,4101210.64,3464742.27,-0.155190365,1.710642911,1.316638529,-0.230325324
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",734985.02,829389.87,0.128444585,1086422.23,885326.57,-0.185098995,1.478155599,1.067443186,-0.277854654
Charlotte,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1389915.11,1604360.23,0.154286487,2064446.99,1741543.09,-0.156411815,1.485304372,1.085506270,-0.269169141
Chicago,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",3088797.52,5238975.19,0.696121277,4995064.12,4726571.90,-0.053751507,1.617154927,0.902193983,-0.442110358
Cincinnati/Dayton,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1326852.61,1258607.86,-0.051433558,1714350.93,1368239.75,-0.201890505,1.292043226,1.087105680,-0.158615085
Columbus,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1080222.45,1069686.15,-0.009753823,1366278.84,1057591.18,-0.225933138,1.264812489,0.988692970,-0.218308660
"Dallas/Ft. Worth",Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",5569642.68,6200311.15,0.113233201,6166450.05,4656272.91,-0.244902194,1.107153619,0.750974071,-0.321707432
Denver,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",3482195.89,4308697.53,0.237350702,5136796.72,4231440.50,-0.176249182,1.475160181,0.982069516,-0.334262456
Detroit,Avocados,Hass,"Last 04 Wks",3,"2023-03-26 00:00:00",1893022.89,1928515.21,0.018749015,2494556.80,1992924.04,-0.201090935,1.317763670,1.033398145,-0.215794024
